Sop684_ph2b, 2,16.39813658,0
Sop685_ph2b, 2,8.628167701,0
Sop686_ph2b, 2,0,0
Sop687_ph2b, 2,0,-511.793568
Sop688_ph2b, 2,0,-511.793568
Sop689_ph2b, 2,0,-511.793568
Sop690_ph2b, 2,14.64137334,-3031.390234
Sop691_ph2b, 2,0,0
Sop692_ph2b, 2,0,0
Sop693_ph2b, 2,0,0
Sop694_ph2b, 2,0,0
Sop701_ph2b, 2,0,0
Sop1000_ph2b, 2,0,0
Sop695_ph2b, 2,0,0
Sop696_ph2b, 2,0,0
Sop1001_ph2b, 2,0,0
Sop1002_ph2b, 2,0,0
Sop1003_ph2b, 2,0,0
Sop1004_ph2b, 2,0,0
Sop1005_ph2b, 2,0,0
Sop697_ph2b, 2,0,0
Sop698_ph2b, 2,0,0
Sop699_ph2b, 2,0,-46.7458033
Sop1007_ph2b, 2,0,0
Sop1008_ph2b, 2,0,0
Sop1125_ph2b, 2,0.462074576,0
Sop1127_ph2b, 2,0.269326961,0
Sop1128_ph2b, 2,0,0
Sop928_ph2b, 2,0.026503847,0
Sop1130_ph2b, 2,0,0
Sop1132_ph2b, 2,0,0
Sop1133_ph2b, 2,0,0
Sop1134_ph2b, 2,0,0
Sop1137_ph2b, 2,0,0
Sop929_ph2b, 2,0,0
Sop926_ph2b, 2,0,0
Sop1140_ph2b, 2,0,0
Sop1129_ph2b, 2,0.057025693,0
Sop1142_ph2b, 2,0,0
Sop949_ph2b, 2,0,0
Sop1143_ph2b, 2,0,0
Sop1145_ph2b, 2,0.6096846,0
Sop1146_ph2b, 2,0,0
Sop1147_ph2b, 2,0,0
Sop1148_ph2b, 2,0,0
Sop934_ph2b, 2,5392.394719,0
Sop1149_ph2b, 2,0,0
Sop1150_ph2b, 2,0,0
Sop1151_ph2b, 2,2.253715095,0
Sop938_ph2b, 2,0,0
Sop940_ph2b, 2,0,0
Sop1171_ph2b, 2,0,0
Sop943_ph2b, 2,4.468235079,0
Sop1153_ph2b, 2,0.914644219,0
Sop1154_ph2b, 2,0,0
Sop1155_ph2b, 2,0,0
Sop1156_ph2b, 2,0,0
Sop1157_ph2b, 2,0,0
Sop1158_ph2b, 2,0,0
